датасет,size_bin,N,геом. среднее ratio,медиана ratio,доля недооценённых,SD log_ratio
CESAW,≤0.5ч,19915,0.983,0.96,0.487,1.124
CESAW,0.5–1ч,12749,0.763,0.833,0.402,1.077
CESAW,1–2ч,9431,0.704,0.82,0.388,1.11
CESAW,2–4ч,6743,0.675,0.826,0.37,1.091
CESAW,4–8ч,4184,0.674,0.852,0.388,1.086
CESAW,8–16ч,1884,0.672,0.871,0.382,1.04
CESAW,>16ч,487,0.574,0.881,0.366,1.21
SiP,≤0.5ч,346,1.303,1.5,0.587,1.004
SiP,0.5–1ч,909,1.184,1.25,0.535,0.869
SiP,1–2ч,960,1.102,1.125,0.519,0.886
SiP,2–4ч,1307,0.973,0.929,0.488,0.839
SiP,4–8ч,1246,0.821,0.9,0.453,0.973
SiP,8–16ч,735,0.748,0.791,0.384,0.968
SiP,>16ч,1264,0.505,0.642,0.328,1.324
