person,N,геом. среднее,медиана,доля недооценённых,SD log,SE,CI низ,CI верх
1498,731,0.305,0.345,0.131,1.184,0.044,0.28,0.333
1021,273,0.313,0.333,0.117,1.086,0.066,0.275,0.356
281,270,0.334,0.351,0.163,1.15,0.07,0.291,0.383
1486,657,0.404,0.415,0.202,1.125,0.044,0.37,0.44
1516,318,0.407,0.433,0.17,1.127,0.063,0.359,0.46
1543,833,0.42,0.471,0.222,1.279,0.044,0.385,0.458
1547,727,0.429,0.473,0.267,1.33,0.049,0.389,0.472
1528,364,0.446,0.472,0.253,1.366,0.072,0.387,0.513
205,230,0.461,0.519,0.213,1.115,0.074,0.4,0.533
301,201,0.472,0.5,0.328,1.423,0.1,0.388,0.575
1020,418,0.5,0.575,0.163,0.894,0.044,0.459,0.545
1479,557,0.532,0.549,0.203,0.875,0.037,0.495,0.572
1029,286,0.573,0.759,0.364,1.267,0.075,0.495,0.663
1069,434,0.58,0.667,0.316,0.956,0.046,0.53,0.634
1499,320,0.588,0.645,0.284,1.127,0.063,0.52,0.665
1542,602,0.589,0.633,0.201,0.791,0.032,0.553,0.627
1530,987,0.607,0.691,0.276,1.073,0.034,0.567,0.649
1004,422,0.618,0.625,0.32,1.006,0.049,0.561,0.68
1067,261,0.621,0.733,0.387,1.393,0.086,0.524,0.735
306,243,0.623,0.722,0.317,1.095,0.07,0.543,0.715
211,285,0.636,0.742,0.354,0.919,0.054,0.572,0.707
1079,873,0.647,0.691,0.387,1.305,0.044,0.594,0.706
1086,603,0.65,0.833,0.418,1.279,0.052,0.587,0.72
279,208,0.661,0.706,0.365,1.166,0.081,0.564,0.774
1544,1090,0.665,0.658,0.268,0.877,0.027,0.631,0.7
995,331,0.684,0.714,0.366,0.996,0.055,0.614,0.761
1505,1631,0.685,0.75,0.38,1.166,0.029,0.647,0.725
1492,406,0.688,0.759,0.392,1.4,0.069,0.6,0.788
1507,377,0.692,0.801,0.363,1.106,0.057,0.619,0.773
1005,243,0.692,0.703,0.428,1.55,0.099,0.569,0.841
997,359,0.696,0.817,0.292,0.739,0.039,0.644,0.751
1514,307,0.708,0.723,0.371,1.25,0.071,0.616,0.815
1085,877,0.734,0.769,0.376,0.995,0.034,0.688,0.784
1019,428,0.761,0.748,0.39,1.069,0.052,0.687,0.842
1518,1590,0.775,0.857,0.328,0.826,0.021,0.744,0.807
285,433,0.776,0.833,0.39,1.036,0.05,0.704,0.856
1070,603,0.794,0.833,0.441,1.242,0.051,0.719,0.877
1483,1712,0.804,0.833,0.355,0.66,0.016,0.779,0.829
1088,381,0.808,0.694,0.417,1.524,0.078,0.694,0.942
313,260,0.827,0.781,0.396,1.112,0.069,0.723,0.947
202,252,0.831,0.89,0.433,1.055,0.066,0.73,0.947
1017,229,0.835,1.111,0.563,1.101,0.073,0.724,0.963
1515,853,0.864,0.906,0.454,0.951,0.033,0.81,0.921
1081,544,0.87,0.855,0.447,1.126,0.048,0.791,0.956
1024,312,0.882,0.951,0.465,0.676,0.038,0.818,0.951
1491,341,0.884,0.833,0.416,1.158,0.063,0.781,0.999
1523,247,0.886,0.952,0.462,1.395,0.089,0.744,1.054
209,201,0.891,0.917,0.418,0.828,0.058,0.795,0.999
1549,280,0.898,0.926,0.368,0.683,0.041,0.829,0.973
1495,854,0.909,0.817,0.413,0.8,0.027,0.862,0.959
1502,1577,0.91,0.986,0.492,0.795,0.02,0.875,0.946
1008,339,0.926,1.063,0.555,0.825,0.045,0.848,1.011
1003,493,0.935,0.896,0.473,1.145,0.052,0.845,1.035
643,712,0.936,1.008,0.506,1.082,0.041,0.864,1.013
647,697,0.936,0.953,0.475,0.712,0.027,0.888,0.987
1093,361,0.938,0.936,0.465,0.979,0.052,0.848,1.038
1504,1032,0.949,0.915,0.454,0.863,0.027,0.9,1.0
