project,N,geometric mean,median,share underestimated,SD log,SE,CI low,CI high
455,667,0.569,0.611,0.345,1.288,0.05,0.516,0.627
101,1937,0.569,0.667,0.335,1.222,0.028,0.539,0.601
56,414,0.631,0.778,0.37,1.017,0.05,0.573,0.696
615,12643,0.658,0.741,0.321,1.049,0.009,0.646,0.67
614,2662,0.678,0.784,0.378,1.236,0.024,0.647,0.711
70,374,0.702,0.75,0.302,0.968,0.05,0.636,0.775
460,2171,0.703,0.788,0.376,1.089,0.023,0.672,0.736
449,244,0.712,0.9,0.43,1.089,0.07,0.621,0.816
71,264,0.717,0.779,0.371,0.992,0.061,0.636,0.808
48,364,0.72,0.704,0.341,0.888,0.047,0.658,0.789
456,2284,0.764,0.8,0.433,1.307,0.027,0.724,0.806
180,1027,0.792,0.875,0.413,0.912,0.028,0.749,0.838
420,494,0.829,0.979,0.488,0.845,0.038,0.77,0.893
606,540,0.831,0.841,0.348,0.769,0.033,0.779,0.886
613,2193,0.831,0.932,0.448,1.136,0.024,0.793,0.872
459,1140,0.833,0.867,0.447,1.058,0.031,0.783,0.885
79,691,0.833,0.883,0.47,1.523,0.058,0.744,0.933
461,2268,0.855,0.917,0.451,0.987,0.021,0.821,0.89
612,3560,0.861,0.889,0.44,1.107,0.019,0.83,0.893
617,3696,0.862,0.905,0.44,1.143,0.019,0.83,0.894
458,1683,0.884,0.928,0.48,1.151,0.028,0.837,0.934
415,517,0.889,1.058,0.563,0.979,0.043,0.817,0.968
84,214,0.911,1.025,0.523,0.875,0.06,0.811,1.025
50,720,0.913,0.962,0.45,0.783,0.029,0.863,0.967
49,511,0.927,0.938,0.47,0.824,0.036,0.863,0.995
47,223,0.961,0.983,0.48,0.867,0.058,0.857,1.076
419,740,0.962,1.093,0.565,0.964,0.035,0.898,1.031
418,483,0.971,1.083,0.54,1.079,0.049,0.882,1.069
181,1353,1.015,1.045,0.546,0.677,0.018,0.979,1.053
171,1801,1.04,1.2,0.554,1.328,0.031,0.978,1.106
95,3714,1.049,1.031,0.509,1.205,0.02,1.009,1.09
416,838,1.06,1.083,0.566,1.042,0.036,0.988,1.137
183,436,1.116,1.158,0.585,0.936,0.045,1.022,1.219
83,287,1.206,1.15,0.631,0.711,0.042,1.111,1.309
184,1234,1.256,1.222,0.62,0.933,0.027,1.192,1.323
182,329,1.274,1.278,0.669,0.934,0.052,1.151,1.409
