phase_short_name,N,geometric mean,median,share underestimated,SD log,SE,CI low,CI high
Ident,1611,0.478,0.606,0.245,1.193,0.03,0.451,0.507
Ident Inspect,2841,0.536,0.556,0.254,1.023,0.019,0.516,0.556
HLD Inspect,1374,0.556,0.585,0.27,1.075,0.029,0.526,0.589
Inspect - Author,1943,0.599,0.633,0.277,1.082,0.025,0.571,0.629
Work,1532,0.668,0.756,0.33,1.003,0.026,0.635,0.702
Task,217,0.673,0.75,0.406,1.196,0.081,0.574,0.789
IT,1234,0.691,0.735,0.361,1.417,0.04,0.638,0.747
DOC-Insp,309,0.719,0.826,0.405,1.394,0.079,0.616,0.84
Product Life,378,0.724,0.8,0.413,1.251,0.064,0.638,0.822
Reqts Review,503,0.766,0.9,0.417,0.951,0.042,0.705,0.832
Code Review,3159,0.77,0.833,0.414,1.113,0.02,0.741,0.801
Inspect - Others,2444,0.774,0.808,0.371,0.844,0.017,0.749,0.8
Reqts Inspect,1847,0.788,0.867,0.37,0.823,0.019,0.759,0.818
Int Test Plan,265,0.798,0.875,0.366,0.688,0.042,0.735,0.867
Postmortem,1674,0.822,0.864,0.424,1.135,0.028,0.779,0.868
Design Review,1523,0.83,0.889,0.417,1.062,0.027,0.787,0.875
Documentation,1047,0.835,0.933,0.474,1.121,0.035,0.78,0.893
Reqts,1059,0.841,0.93,0.457,0.963,0.03,0.794,0.891
Demo-Plan,217,0.844,0.95,0.452,1.104,0.075,0.729,0.978
Test Devel,781,0.846,0.891,0.43,0.996,0.036,0.789,0.907
Planning,1916,0.859,0.889,0.437,1.105,0.025,0.817,0.902
Code,3076,0.872,0.975,0.485,1.06,0.019,0.84,0.905
Misc,2614,0.881,0.983,0.48,1.003,0.02,0.848,0.916
Int Test,1820,0.883,0.95,0.47,1.325,0.031,0.831,0.938
HLD,806,0.929,0.953,0.474,1.107,0.039,0.861,1.003
Test,4404,0.94,1.004,0.502,1.224,0.018,0.907,0.975
Code Inspect,4878,0.965,0.994,0.499,1.136,0.016,0.935,0.997
Sys Test,341,0.968,1.05,0.545,0.975,0.053,0.873,1.074
Compile,947,0.991,1.01,0.506,1.254,0.041,0.915,1.073
Design,1940,0.997,1.011,0.513,0.945,0.021,0.956,1.04
Design Inspect,3785,1.006,1.046,0.521,1.041,0.017,0.973,1.039
Accept Test,454,1.135,1.183,0.621,0.961,0.045,1.039,1.24
