phase_short_name,N,GBM MAE_log,B0 MAE_log,bias (mean err),gain %
Accept Test,1,1.928,2.485,1.928,22.4
Code,510,0.629,0.618,-0.096,-1.7
Code Inspect,1508,0.789,0.802,-0.265,1.7
Code Review,500,0.631,0.689,-0.109,8.4
Compile,385,0.871,0.863,0.174,-1.0
Design,461,0.542,0.548,-0.114,1.1
Design Inspect,1373,0.701,0.771,-0.066,9.1
Design Review,446,0.686,0.749,-0.062,8.4
Documentation,192,0.887,0.688,-0.335,-29.0
HLD,534,0.648,0.64,-0.152,-1.3
HLD Inspect,946,0.73,0.841,0.186,13.3
IT,420,1.045,1.146,0.112,8.8
Ident,475,0.898,1.146,-0.029,21.7
Ident Inspect,882,0.761,1.041,0.202,26.9
Inspect - Author,920,0.83,0.947,0.31,12.4
Inspect - Others,419,0.607,0.683,-0.07,11.2
Int Test,410,1.11,1.117,-0.127,0.6
Misc,567,0.37,0.231,-0.087,-59.9
Planning,421,0.527,0.57,0.079,7.6
Postmortem,423,0.605,0.632,-0.276,4.3
Product Life,38,0.592,0.795,0.378,25.5
Reqts,33,0.658,0.643,-0.029,-2.3
Reqts Inspect,2107,0.302,0.117,-0.059,-159.4
Reqts Review,2,1.132,1.151,-0.887,1.7
Sys Test,3,0.932,0.828,-0.251,-12.6
Test,536,0.852,0.808,-0.299,-5.4
Test Devel,69,0.508,0.578,0.109,12.0
Work,490,0.778,0.765,-0.061,-1.8
