датасет,qbin,N,медиана оценки,геом. среднее
CESAW,0,7914,0.15,1.331
CESAW,1,7913,0.35,0.787
CESAW,2,7913,0.5,0.841
CESAW,3,7913,0.92,0.731
CESAW,4,7913,1.394,0.69
CESAW,5,7913,2.25,0.694
CESAW,6,7914,6.0,0.675
SiP,0,967,1.0,1.207
SiP,1,967,1.5,1.14
SiP,2,966,2.5,1.039
SiP,3,967,4.0,0.943
SiP,4,966,7.0,0.786
SiP,5,967,14.0,0.72
SiP,6,967,35.0,0.456
Renzo,0,815,1.0,2.452
Renzo,1,815,2.0,1.283
Renzo,2,814,2.0,1.008
Renzo,3,815,3.0,0.845
Renzo,4,814,4.0,0.689
Renzo,5,815,4.0,0.694
Renzo,6,815,6.0,0.535
