,значение
CESAW: задач после очистки,60284
CESAW: доля факт == оценка,8.1%
SiP: доля факт == оценка,34.1%
Renzo: доля факт == оценка,43.9%
RQ1 CESAW: геом. среднее ratio,0.799
RQ1 CESAW: доля недооценённых,42.4%
RQ2 наклон log_ratio~log_est (CESAW),-0.169
RQ2 наклон (SiP),-0.24
RQ2 наклон (Renzo),-0.805
RQ3 R² исполнителя,0.1033
RQ4 R² проекта,0.0304
RQ5 R² фазы,0.0401
R² размера задачи,0.0209
B0 RMSE_log,1.053
GBM RMSE_log,0.946
Абляция: AUC только по оценке,0.492
Абляция: AUC + контекст,0.692
Абляция: AUC + история,0.709
Лучший классификатор PR-AUC,0.595
Base rate недооценки (тест),0.357
Покрытие интервала до CQR,73.2%
Покрытие интервала после CQR,78.3%
